order_id,ordered_at,total_amount,currency,utm_campaign
ORD-00034,2026-08-27T11:15:00+05:30,1299.00,INR,
ORD-00035,2026-08-27T12:15:00+05:30,1449.00,INR,Evergreen Retargeting
ORD-00036,2026-08-27T13:15:00+05:30,1599.00,INR,
ORD-00037,2026-08-27T14:15:00+05:30,1749.00,INR,Evergreen Retargeting
ORD-00038,2026-08-28T10:15:00+05:30,1899.00,INR,June Promo 2026
ORD-00039,2026-08-28T11:15:00+05:30,2049.00,INR,Summer Sale 2026
ORD-00040,2026-08-28T12:15:00+05:30,2199.00,INR,June Promo 2026
ORD-00041,2026-08-28T13:15:00+05:30,2349.00,INR,Summer Sale 2026
ORD-00042,2026-08-28T14:15:00+05:30,2499.00,INR,June Promo 2026
ORD-00043,2026-08-28T15:15:00+05:30,2649.00,INR,Summer Sale 2026
ORD-00044,2026-08-29T10:15:00+05:30,2799.00,INR,Summer Sale 2026
ORD-00045,2026-08-29T11:15:00+05:30,2949.00,INR,June Promo 2026
ORD-00046,2026-08-29T12:15:00+05:30,3099.00,INR,Summer Sale 2026
ORD-00047,2026-08-29T13:15:00+05:30,3249.00,INR,June Promo 2026
ORD-00048,2026-08-29T14:15:00+05:30,3399.00,INR,Summer Sale 2026
ORD-00049,2026-08-29T15:15:00+05:30,3549.00,INR,June Promo 2026
ORD-00050,2026-08-29T16:15:00+05:30,3699.00,INR,Summer Sale 2026
ORD-00051,2026-08-30T10:15:00+05:30,1299.00,INR,
ORD-00052,2026-08-30T11:15:00+05:30,1449.00,INR,Evergreen Retargeting
ORD-00053,2026-08-30T12:15:00+05:30,1599.00,INR,
ORD-00054,2026-08-31T10:15:00+05:30,1749.00,INR,June Promo 2026
ORD-00055,2026-08-31T11:15:00+05:30,1899.00,INR,Summer Sale 2026
ORD-00056,2026-08-31T12:15:00+05:30,2049.00,INR,June Promo 2026
ORD-00057,2026-08-31T13:15:00+05:30,2199.00,INR,Summer Sale 2026
ORD-00058,2026-09-01T10:15:00+05:30,2349.00,INR,June Promo 2026
ORD-00059,2026-09-01T11:15:00+05:30,2499.00,INR,Summer Sale 2026
ORD-00060,2026-09-01T12:15:00+05:30,2649.00,INR,June Promo 2026
ORD-00061,2026-09-01T13:15:00+05:30,2799.00,INR,Summer Sale 2026
ORD-00062,2026-09-02T10:15:00+05:30,2949.00,INR,June Promo 2026
ORD-00063,2026-09-02T11:15:00+05:30,3099.00,INR,Summer Sale 2026
ORD-00064,2026-09-02T12:15:00+05:30,3249.00,INR,June Promo 2026
ORD-00065,2026-09-02T13:15:00+05:30,3399.00,INR,Summer Sale 2026
ORD-00066,2026-09-02T14:15:00+05:30,3549.00,INR,June Promo 2026
ORD-00067,2026-09-03T10:15:00+05:30,3699.00,INR,
ORD-00068,2026-09-03T11:15:00+05:30,1299.00,INR,Evergreen Retargeting
ORD-00069,2026-09-03T12:15:00+05:30,1449.00,INR,
ORD-00070,2026-09-03T13:15:00+05:30,1599.00,INR,Evergreen Retargeting
ORD-00071,2026-09-03T14:15:00+05:30,1749.00,INR,
ORD-00072,2026-09-03T15:15:00+05:30,1899.00,INR,Evergreen Retargeting
ORD-00073,2026-09-04T10:15:00+05:30,2049.00,INR,Evergreen Retargeting
ORD-00074,2026-09-04T11:15:00+05:30,2199.00,INR,
ORD-00075,2026-09-04T12:15:00+05:30,2349.00,INR,Evergreen Retargeting
ORD-00076,2026-09-04T13:15:00+05:30,2499.00,INR,
ORD-00077,2026-09-04T14:15:00+05:30,2649.00,INR,Evergreen Retargeting
ORD-00078,2026-09-04T15:15:00+05:30,2799.00,INR,
ORD-00079,2026-09-04T16:15:00+05:30,2949.00,INR,Evergreen Retargeting
ORD-00080,2026-09-05T10:15:00+05:30,3099.00,INR,Summer Sale 2026
ORD-00081,2026-09-05T11:15:00+05:30,3249.00,INR,June Promo 2026
ORD-00082,2026-09-05T12:15:00+05:30,3399.00,INR,Summer Sale 2026
ORD-00083,2026-09-06T10:15:00+05:30,3549.00,INR,
ORD-00084,2026-09-06T11:15:00+05:30,3699.00,INR,Evergreen Retargeting
ORD-00085,2026-09-06T12:15:00+05:30,1299.00,INR,
ORD-00086,2026-09-06T13:15:00+05:30,1449.00,INR,Evergreen Retargeting
ORD-00087,2026-09-07T10:15:00+05:30,1599.00,INR,
ORD-00088,2026-09-07T11:15:00+05:30,1749.00,INR,Evergreen Retargeting
ORD-00089,2026-09-07T12:15:00+05:30,1899.00,INR,
ORD-00090,2026-09-07T13:15:00+05:30,2049.00,INR,Evergreen Retargeting
ORD-00091,2026-09-07T14:15:00+05:30,2199.00,INR,
ORD-00092,2026-09-08T10:15:00+05:30,2349.00,INR,Summer Sale 2026
ORD-00093,2026-09-08T11:15:00+05:30,2499.00,INR,June Promo 2026
ORD-00094,2026-09-08T12:15:00+05:30,2649.00,INR,Summer Sale 2026
ORD-00095,2026-09-08T13:15:00+05:30,2799.00,INR,June Promo 2026
ORD-00096,2026-09-08T14:15:00+05:30,2949.00,INR,Summer Sale 2026
ORD-00097,2026-09-08T15:15:00+05:30,3099.00,INR,June Promo 2026
ORD-00098,2026-09-09T10:15:00+05:30,3249.00,INR,June Promo 2026
ORD-00099,2026-09-09T11:15:00+05:30,3399.00,INR,Summer Sale 2026
ORD-00100,2026-09-09T12:15:00+05:30,3549.00,INR,June Promo 2026
ORD-00101,2026-09-09T13:15:00+05:30,3699.00,INR,Summer Sale 2026
ORD-00102,2026-09-09T14:15:00+05:30,1299.00,INR,June Promo 2026
ORD-00103,2026-09-09T15:15:00+05:30,1449.00,INR,Summer Sale 2026
ORD-00104,2026-09-09T16:15:00+05:30,1599.00,INR,June Promo 2026
